ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,YEARS_BIRTH,YEARS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5097065,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,51.98,22.36,1,0,0,0,Managers,2.0
5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,44.68,1.68,1,0,0,0,Laborers,1.0
5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,53.17,0.95,1,0,0,0,Security staff,1.0
5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,44.97,1.7,1,0,1,0,High skill tech staff,2.0
5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,28.58,2.47,1,0,0,0,Managers,2.0
5135991,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,28.58,2.47,1,0,0,0,Managers,2.0
5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47.15,2.96,1,0,0,0,Security staff,2.0
5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,33.94,3.63,1,0,1,1,Medicine staff,2.0
5069475,F,N,Y,2,225000.0,Working,Higher education,Married,House / apartment,37.26,15.65,1,0,1,0,Core staff,4.0
5112858,F,Y,N,1,270000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,33.92,5.78,1,0,0,0,Laborers,3.0
5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.14,1.61,1,1,1,0,,2.0
5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,32.95,13.07,1,0,0,0,Cleaning staff,2.0
5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,55.52,6.93,1,1,1,0,Accountants,2.0
5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,51.8,6.77,1,0,0,0,Sales staff,1.0
5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,39.79,2.36,1,1,0,0,Managers,1.0
5149190,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,26.98,1.38,1,0,1,1,Core staff,3.0
5036625,M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,41.09,0.88,1,1,1,0,Drivers,3.0
5025127,M,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,30.44,9.18,1,0,0,0,High skill tech staff,2.0
5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,51.61,2.55,1,1,1,0,Laborers,2.0
5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,35.1,11.85,1,0,0,0,,1.0
5029311,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.93,-1000.67,1,0,1,1,,2.0
5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,42.37,6.22,1,0,1,0,Low-skill Laborers,3.0
5100428,F,N,Y,1,202500.0,Working,Incomplete higher,Married,House / apartment,29.44,3.01,1,0,1,0,Sales staff,3.0
5009749,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.14,1.61,1,1,1,0,,2.0
5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,57.68,2.21,1,0,0,0,Drivers,2.0
5058348,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.43,-1000.67,1,0,0,0,,1.0
5090166,F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42.33,2.36,1,0,0,0,Security staff,2.0
5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.7,1.05,1,1,0,0,Sales staff,3.0
5078801,F,N,Y,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,51.85,8.16,1,0,0,0,High skill tech staff,2.0
5095839,M,N,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.77,3.1,1,1,1,0,Laborers,2.0
5137247,F,N,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,47.55,8.97,1,1,1,0,Secretaries,2.0
5045895,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63.8,-1000.67,1,0,0,0,,1.0
5054525,F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,45.51,22.93,1,0,0,0,,4.0
5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,24.99,4.29,1,0,0,1,Waiters/barmen staff,3.0
5097145,M,Y,N,1,405000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.38,3.93,1,0,1,0,Managers,3.0
5041522,M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,44.3,2.34,1,1,1,0,,1.0
5104947,F,N,Y,3,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45.74,1.13,1,1,1,0,Sales staff,5.0
5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,50.21,19.97,1,1,0,0,Laborers,2.0
5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.48,1.55,1,0,0,1,IT staff,2.0
5058352,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.43,-1000.67,1,0,0,0,,1.0
5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.15,19.02,1,0,0,0,Medicine staff,2.0
5116906,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,41.22,20.69,1,0,0,0,Core staff,2.0
5078804,F,N,Y,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,51.85,8.16,1,0,0,0,High skill tech staff,2.0
5114536,F,N,Y,0,126000.0,State servant,Incomplete higher,Married,House / apartment,48.02,4.7,1,0,0,0,,2.0
5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,29.45,6.56,1,0,0,0,Laborers,1.0
5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37.21,7.06,1,0,0,0,,2.0
5145690,F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,59.15,-1000.67,1,0,0,0,,2.0
5116302,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.07,-1000.67,1,0,0,0,,2.0
5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,49.79,1.86,1,0,1,1,Core staff,3.0
5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,49.79,1.86,1,0,1,1,Core staff,1.0
5058350,M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,67.43,-1000.67,1,0,0,0,,1.0
5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,47.53,6.63,1,0,0,0,Managers,2.0
5092136,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,46.58,15.73,1,0,0,0,Cooking staff,2.0
5068651,F,Y,Y,0,360000.0,State servant,Higher education,Separated,House / apartment,52.89,5.22,1,0,0,0,Core staff,1.0
5092245,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.58,-1000.67,1,0,0,0,,2.0
5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,39.79,9.37,1,0,0,0,Core staff,2.0
5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,39.79,9.37,1,0,0,0,Core staff,2.0
5078805,F,N,Y,0,306000.0,Working,Secondary / secondary special,Married,House / apartment,51.85,8.16,1,0,0,0,High skill tech staff,2.0
5090729,M,Y,Y,2,360000.0,Commercial associate,Incomplete higher,Married,House / apartment,34.1,5.93,1,0,0,0,,4.0
5116455,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,49.56,25.19,1,0,0,0,Medicine staff,2.0
5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,51.68,4.5,1,0,0,1,,2.0
5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,54.78,1.89,1,0,0,0,Managers,2.0
5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,28.48,1.55,1,0,0,1,IT staff,2.0
5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,49.37,4.37,1,0,0,0,Cooking staff,1.0
5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,51.92,1.37,1,0,1,0,Core staff,1.0
5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,39.44,2.52,1,0,1,0,Managers,1.0
5117787,F,Y,N,2,162000.0,Commercial associate,Incomplete higher,Married,House / apartment,26.47,2.18,1,1,1,0,Core staff,4.0
5041175,F,N,Y,1,180000.0,Working,Incomplete higher,Married,Municipal apartment,29.46,0.18,1,1,1,0,Core staff,3.0
5058531,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25.32,1.39,1,0,0,0,Sales staff,1.0
5117794,F,Y,N,2,162000.0,Commercial associate,Incomplete higher,Married,House / apartment,26.47,2.18,1,1,1,0,Core staff,4.0
5058532,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,25.32,1.39,1,0,0,0,Sales staff,1.0
5137206,M,N,N,0,90000.0,Working,Secondary / secondary special,Single / not married,With parents,27.12,0.47,1,1,0,0,Drivers,1.0
5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.35,0.59,1,0,0,0,Laborers,2.0
